node_id_start,node_id_end,rel_type,link,start_date,end_date,source_id
20000001,10000001,officer_of,officer_of,04-MAR-2003,,Panama Papers
20000002,10000002,officer_of,officer_of,15-JUN-2001,,Panama Papers
20000003,10000003,officer_of,officer_of,22-SEP-2005,,Pandora Papers
20000004,10000004,officer_of,officer_of,01-FEB-2007,,Panama Papers
20000005,10000005,officer_of,officer_of,30-OCT-1999,,Offshore Leaks
20000006,10000006,officer_of,officer_of,12-APR-2004,,Panama Papers
20000007,10000007,officer_of,officer_of,07-JAN-2006,,Panama Papers
20000008,10000008,officer_of,officer_of,19-NOV-2008,,Bahamas Leaks
20000009,10000009,officer_of,officer_of,28-MAR-2002,,Pandora Papers
20000010,10000010,officer_of,officer_of,14-AUG-2010,,Panama Papers
20000011,10000011,officer_of,officer_of,03-MAY-2000,,Offshore Leaks
20000012,10000012,officer_of,officer_of,25-JUL-2003,,Panama Papers
20000013,10000013,officer_of,officer_of,09-DEC-2004,,Pandora Papers
20000014,10000014,officer_of,officer_of,17-FEB-2007,,Panama Papers
20000015,10000015,officer_of,officer_of,11-OCT-2009,,Bahamas Leaks
30000001,10000001,intermediary_of,intermediary_of,04-MAR-2003,,Panama Papers
30000002,10000003,intermediary_of,intermediary_of,22-SEP-2005,,Pandora Papers
30000003,10000005,intermediary_of,intermediary_of,30-OCT-1999,,Offshore Leaks
30000004,10000002,intermediary_of,intermediary_of,15-JUN-2001,,Panama Papers
30000005,10000008,intermediary_of,intermediary_of,19-NOV-2008,,Bahamas Leaks
30000006,10000009,intermediary_of,intermediary_of,28-MAR-2002,,Pandora Papers
30000007,10000007,intermediary_of,intermediary_of,07-JAN-2006,,Panama Papers
30000008,10000018,intermediary_of,intermediary_of,08-JAN-2008,,Pandora Papers
30000009,10000011,intermediary_of,intermediary_of,03-MAY-2000,,Offshore Leaks
30000010,10000020,intermediary_of,intermediary_of,20-NOV-2011,,Pandora Papers
20000016,10000016,registered_address,registered_address,06-JUN-2006,,Panama Papers
20000017,10000017,registered_address,registered_address,23-SEP-2001,,Offshore Leaks
20000018,10000019,registered_address,registered_address,31-MAR-2005,,Panama Papers
20000019,10000006,similar,similar,,,Panama Papers
20000020,10000013,similar,similar,,,Pandora Papers
