node_id,name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,closed_date,ibcRUC,status,country_codes,countries,source_id,valid_until,note
10000001,Seabreeze Holdings Ltd,PAN,Panama,Standard International Trade Company,"Calle 50, Marbella, Panama City, Panama",1234567,04-MAR-2003,,,,, Active,PA,Panama,Panama Papers,The Panama Papers data is current through 2010,
10000002,Azure Capital Group SA,BVI,British Virgin Islands,Business Company,"Wickhams Cay 1, Road Town, Tortola, BVI",1234568,15-JUN-2001,,,,, Active,VG,British Virgin Islands,Panama Papers,The Panama Papers data is current through 2010,
10000003,Pinnacle Ventures Corp,CYM,Cayman Islands,Exempted Company,"PO Box 309, Ugland House, Grand Cayman, KY1-1104",1234569,22-SEP-2005,,,,, Active,KY,Cayman Islands,Pandora Papers,The Pandora Papers data is current through 2019,
10000004,Nordic Trust Establishment,LUX,Luxembourg,Private Limited Company,"2 Avenue Charles de Gaulle, L-1653 Luxembourg",1234570,01-FEB-2007,,,,, Inactivated,LU,Luxembourg,Panama Papers,The Panama Papers data is current through 2010,
10000005,Alpina Wealth Management AG,CHE,Switzerland,Stock Corporation,"Bahnhofstrasse 10, 8001 Zurich, Switzerland",1234571,30-OCT-1999,,,,, Active,CH,Switzerland,Offshore Leaks,The Offshore Leaks data is current through 2010,
10000006,Coral Bay Enterprises Inc,BVI,British Virgin Islands,Business Company,"Ritter House, Wickhams Cay II, Road Town, Tortola",1234572,12-APR-2004,,,,, Active,VG,British Virgin Islands,Panama Papers,The Panama Papers data is current through 2010,
10000007,Meridian Asset Holdings SA,PAN,Panama,Standard International Trade Company,"Urbanizacion Marbella, Torre HSBC, Piso 14, Panama",1234573,07-JAN-2006,,,,, Active,PA,Panama,Panama Papers,The Panama Papers data is current through 2010,
10000008,Sunstone Properties Ltd,CYM,Cayman Islands,Exempted Company,"190 Elgin Avenue, George Town, Grand Cayman",1234574,19-NOV-2008,,,,, Inactivated,KY,Cayman Islands,Bahamas Leaks,The Bahamas Leaks data is current through 2016,
10000009,Fortuna Investment Group,LUX,Luxembourg,Societe Anonyme,"1 Allee Scheffer, L-2520 Luxembourg",1234575,28-MAR-2002,,,,, Active,LU,Luxembourg,Pandora Papers,The Pandora Papers data is current through 2019,
10000010,Harborview Capital Partners,BVI,British Virgin Islands,Business Company,"Maples Corporate Services, PO Box 309, Road Town",1234576,14-AUG-2010,,,,, Active,VG,British Virgin Islands,Panama Papers,The Panama Papers data is current through 2010,
10000011,Equinox Finance Ltd,CYM,Cayman Islands,Exempted Company,"89 Nexus Way, Camana Bay, Grand Cayman",1234577,03-MAY-2000,,,,, Active,KY,Cayman Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
10000012,Triton Maritime Holdings SA,PAN,Panama,Standard International Trade Company,"Edificio 53 Este, Urbanizacion Marbella, Panama",1234578,25-JUL-2003,,,,, Inactivated,PA,Panama,Panama Papers,The Panama Papers data is current through 2010,
10000013,Castellan Trust Company Ltd,CHE,Switzerland,Private Limited Company,"Freie Strasse 42, 4001 Basel, Switzerland",1234579,09-DEC-2004,,,,, Active,CH,Switzerland,Pandora Papers,The Pandora Papers data is current through 2019,
10000014,Kestrel Global Resources Inc,BVI,British Virgin Islands,Business Company,"Trident Chambers, PO Box 146, Road Town, Tortola",1234580,17-FEB-2007,,,,, Active,VG,British Virgin Islands,Panama Papers,The Panama Papers data is current through 2010,
10000015,Ironwood Strategic Ventures,LUX,Luxembourg,Societe a Responsabilite Limitee,"46A Avenue J.F. Kennedy, L-1855 Luxembourg",1234581,11-OCT-2009,,,,, Active,LU,Luxembourg,Bahamas Leaks,The Bahamas Leaks data is current through 2016,
10000016,Solaris Energy Holdings Ltd,CYM,Cayman Islands,Exempted Company,"PO Box 1093, Queensgate House, Grand Cayman",1234582,06-JUN-2006,,,,, Inactivated,KY,Cayman Islands,Panama Papers,The Panama Papers data is current through 2010,
10000017,Westport Trade Solutions SA,PAN,Panama,Standard International Trade Company,"Calle 53 Este, Marbella, Panama City",1234583,23-SEP-2001,,,,, Active,PA,Panama,Offshore Leaks,The Offshore Leaks data is current through 2010,
10000018,Elara Fund Management Ltd,BVI,British Virgin Islands,Business Company,"Commerce House, Wickhams Cay 1, Road Town",1234584,08-JAN-2008,,,,, Active,VG,British Virgin Islands,Pandora Papers,The Pandora Papers data is current through 2019,
10000019,Sapphire Realty Group AG,CHE,Switzerland,Stock Corporation,"Talstrasse 65, 8001 Zurich, Switzerland",1234585,31-MAR-2005,,,,, Active,CH,Switzerland,Panama Papers,The Panama Papers data is current through 2010,
10000020,Castlewood Investments Corp,CYM,Cayman Islands,Exempted Company,"PO Box 1984, Grand Pavilion, Grand Cayman",1234586,20-NOV-2011,,,,, Inactivated,KY,Cayman Islands,Pandora Papers,The Pandora Papers data is current through 2019,
